Date,EUNA
2018-08-15,4.930099964141846
2018-08-16,4.927700042724609
2018-08-17,4.927700042724609
2018-08-20,4.936100006103516
2018-08-21,4.929800033569336
2018-08-22,4.929800033569336
2018-08-23,4.929800033569336
2018-08-24,4.931099891662598
2018-08-27,4.926799774169922
2018-08-28,4.9222002029418945
2018-08-29,4.9222002029418945
2018-08-30,4.923500061035156
2018-08-31,4.923500061035156
2018-09-03,4.924499988555908
2018-09-04,4.919600009918213
2018-09-05,4.918900012969971
2018-09-06,4.92519998550415
2018-09-07,4.915500164031982
2018-09-10,4.9145002365112305
2018-09-11,4.9131999015808105
2018-09-12,4.9131999015808105
2018-09-13,4.917200088500977
2018-09-14,4.906000137329102
2018-09-17,4.906000137329102
2018-09-18,4.901100158691406
2018-09-19,4.893199920654297
2018-09-20,4.8968000411987305
