Date,US,Dev_exUS,EM,BTC
2020-05-12,2870.1201171875,32.059410095214844,32.696632385253906,8804.4775390625
2020-05-13,2820.0,31.62251091003418,32.633853912353516,9269.9873046875
2020-05-14,2852.5,31.360370635986328,32.75941467285156,9733.7216796875
2020-05-15,2863.699951171875,31.412796020507812,32.31101608276367,9328.197265625
2020-05-18,2953.909912109375,32.81086730957031,33.57547378540039,9726.5751953125
2020-05-19,2922.93994140625,32.33901596069336,33.30644226074219,9729.0380859375
2020-05-20,2971.610107421875,33.064266204833984,33.74586868286133,9522.9814453125
2020-05-21,2948.510009765625,32.7846565246582,33.36025619506836,9081.76171875
2020-05-22,2955.449951171875,32.69727325439453,32.66973876953125,9182.5771484375
2020-05-26,2991.77001953125,33.527374267578125,33.38715744018555,8835.052734375
2020-05-27,3036.1298828125,33.99048614501953,33.49476623535156,9181.017578125
2020-05-28,3029.72998046875,34.3050422668457,33.26160430908203,9525.7509765625
2020-05-29,3044.31005859375,34.32252883911133,33.835540771484375,9439.1240234375
2020-06-01,3055.72998046875,35.091468811035156,34.615745544433594,10167.2685546875
2020-06-02,3080.820068359375,35.493404388427734,35.44078063964844,9529.8037109375
2020-06-03,3122.8701171875,36.541954040527344,36.26581954956055,9656.7177734375
2020-06-04,3112.35009765625,36.42836380004883,35.754661560058594,9800.63671875
2020-06-05,3193.929931640625,37.12739944458008,36.69627380371094,9665.533203125
2020-06-08,3232.389892578125,37.5555534362793,36.920467376708984,9771.4892578125
2020-06-09,3207.179931640625,36.970123291015625,36.669376373291016,9795.7001953125
2020-06-10,3190.139892578125,36.83905029296875,36.938411712646484,9870.0947265625
2020-06-11,3002.10009765625,34.62835693359375,35.010337829589844,9321.78125
2020-06-12,3041.31005859375,35.25748825073242,35.754661560058594,9480.84375
2020-06-15,3066.590087890625,35.5971794128418,35.4299430847168,9450.7021484375
2020-06-16,3124.739990234375,36.02180480957031,35.65544128417969,9538.0244140625
2020-06-17,3113.489990234375,36.13679504394531,35.998191833496094,9480.2548828125
2020-06-18,3115.340087890625,35.86256408691406,36.0162353515625,9411.8408203125
2020-06-19,3097.739990234375,35.72987747192383,36.0072135925293,9288.0185546875
2020-06-22,3117.860107421875,36.242958068847656,36.449188232421875,9648.7177734375
